Chromosome_ID	Start	Stop	Transcript_ID
chr2	131968106	131968429	Csativus12418.1
chr2	132515019	132515342	Csativus12422.1
chr2	388681612	388681920	Csativus14761.1
chr2	643980887	643981207	Csativus17495.1
chr5	392689025	392689336	Csativus39264.1
chr5	392713087	392713398	Csativus39265.1
chr6	336846639	336846959	Csativus46276.1
chr6	405267418	405267744	Csativus46917.1
chr6	406492582	406492908	Csativus46936.1
chr6	406854256	406854582	Csativus46938.1
chr8	119543621	119543941	Csativus55917.1
chr8	193981680	193981988	Csativus56330.1
